Product,Price,RAM,ROM,Display,Back_camera,Front_camera,Processor,Battery,Rating
"OPPO A31 (Fantasy White, 128 GB)","₹11,990",6 GB RAM , 128 GB ROM ,16.51 ,12MP + 2MP + 2MP , 8MP Front Camera,MediaTek Helio P35 Octa Core Processor,4230 ,4.3
"POCO M2 (Brick Red, 128 GB)","₹11,499",6 GB RAM , 128 GB ROM ,16.59 ,13MP + 8MP + 5MP + 2MP , 8MP Front Camera,MediaTek Helio G80 Processor,5000 ,4.4
"OPPO A9 2020 (Marine Green, 128 GB)","₹12,990",4 GB RAM , 128 GB ROM ,16.51 ,48MP + 8MP + 2MP + 2MP , 16MP Front Camera,Qualcomm Snapdragon 665 Processor,5000 ,4.3
"Tecno Spark Power 2 Air (Ice Jadeite, 32 GB)","₹8,499",3 GB RAM , 32 GB ROM ,17.78 ,13MP + 2MP + 2MP + AI Lens Quad AI Camera , 8MP Front Camera,MediaTek Helio A22 Quad Core Processor,6000 ,4.3
Nokia 105 SS,"₹1,298",4 MB RAM , 4 MB ROM,4.5 ,800 mAh Lithium Ion Battery,,,Brand Warranty of 1 Year Available for Mobile,4.3
"Realme Narzo 10A (So Blue, 64 GB)","₹9,999",4 GB RAM , 64 GB ROM ,16.56 ,12MP + 2MP + 2MP , 5MP Front Camera,MediaTek Helio G70 (12 nm) Processor,5000 ,4.5
"Realme Narzo 10A (So White, 32 GB)","₹8,999",3 GB RAM , 32 GB ROM ,16.56 ,12MP + 2MP + 2MP , 5MP Front Camera,MediaTek Helio G70 (12 nm) Processor,5000 ,4.5
"Redmi Note 8 (Cosmic Purple, 64 GB)","₹11,499",4 GB RAM , 64 GB ROM ,16.0 ,48MP + 8MP + 2MP + 2MP , 13MP Front Camera,Qualcomm Snapdragon 665 Processor,4000 ,4.4
"Apple iPhone XR (Coral, 64 GB)","₹44,999",,64 GB ROM,15.49 ,12MP Rear Camera , 7MP Front Camera,iOS 13 Compatible,A12 Bionic Chip Processor,4.6
"Realme 5i (Forest Green, 64 GB)","₹10,999",4 GB RAM , 64 GB ROM,16.56 ,12MP + 8MP + 2MP + 2MP , 8MP Front Camera,Qualcomm Snapdragon 665 2 GHz Processor,5000 ,4.5
"Realme 5i (Aqua Blue, 128 GB)","₹11,999",4 GB RAM , 128 GB ROM,16.56 ,12MP + 8MP + 2MP + 2MP , 8MP Front Camera,Qualcomm Snapdragon 665 (2 GHz) Processor,5000 ,4.5
"OPPO A5s (Black, 32 GB)","₹7,990",2 GB RAM , 32 GB ROM ,15.75 ,13MP + 2MP , 8MP Front Camera,MediaTek Helio P35 Processor,4230 ,4.3
"OPPO A5s (Blue, 64 GB)","₹9,990",4 GB RAM , 64 GB ROM ,15.75 ,13MP + 2MP , 8MP Front Camera,MediaTek Helio P35 Processor,4230 ,4.3
"OPPO A5s (Blue, 32 GB)","₹7,990",2 GB RAM , 32 GB ROM ,15.75 ,13MP + 2MP , 8MP Front Camera,MediaTek Helio P35 Processor,4230 ,4.3
"Realme 7 Pro (Sun Kissed Leather, 128 GB)","₹19,999",6 GB RAM , 128 GB ROM ,16.26 ,64MP + 8MP + 2MP + 2MP , 32MP Front Camera,Qualcomm Snapdragon 720G Processor,4500 ,4.4
"Realme 7 Pro (Mirror Blue, 128 GB)","₹19,999",6 GB RAM , 128 GB ROM ,16.26 ,64MP + 8MP + 2MP + 2MP , 32MP Front Camera,Qualcomm Snapdragon 720G Processor,4500 ,4.4
"Realme 7 Pro (Mirror Silver, 128 GB)","₹19,999",6 GB RAM , 128 GB ROM ,16.26 ,64MP + 8MP + 2MP + 2MP , 32MP Front Camera,Qualcomm Snapdragon 720G Processor,4500 ,4.4
"Realme 7 Pro (Mirror Blue, 128 GB)","₹21,999",8 GB RAM , 128 GB ROM ,16.26 ,64MP + 8MP + 2MP + 2MP , 32MP Front Camera,Qualcomm Snapdragon 720G Processor,4500 ,4.4
"Realme C3 (Volcano Grey, 32 GB)","₹7,999",3 GB RAM , 32 GB ROM ,16.56 ,12MP + 2MP , 5MP Front Camera,Helio G70 Processor,5000 ,4.4
"Realme C3 (Blazing Red, 64 GB)","₹8,999",4 GB RAM , 64 GB ROM ,16.56 ,12MP + 2MP , 5MP Front Camera,Helio G70 Processor,5000 ,4.4
"OPPO A5s (Gold, 64 GB)","₹14,299",4 GB RAM , 64 GB ROM ,15.75 ,13MP + 2MP , 8MP Front Camera,MediaTek Helio P35 Processor,4230 ,4.3
"POCO X2 (Atlantis Blue, 64 GB)","₹16,499",6 GB RAM , 64 GB ROM ,16.94 ,64MP + 8MP + 2MP + 2MP , 20MP + 2MP Dual Front Camera,Qualcomm Snapdragon 730G Processor,4500 ,4.5
Karbonn KX3,₹770,32 MB RAM , 32 MB ROM ,4.57 ,0.3MP Rear Camera,,1 Year Brand Warranty,800 ,3.9
"OPPO F15 (Lightening Black, 128 GB)","₹14,990",4 GB RAM , 128 GB ROM ,16.26 ,48MP + 8MP + 2MP + 2MP , 16MP Front Camera,MediaTek Helio P70 Processor,4000 ,4.5
"Motorola E7 Plus (Misty Blue, 64 GB)","₹9,499",4 GB RAM , 64 GB ROM ,16.51 ,48MP + 2MP , 8MP Front Camera,Qualcomm Snapdragon 460 Processor,5000 ,4.2
"Redmi 8A Dual (Sky White, 32 GB)","₹6,999",2 GB RAM , 32 GB ROM ,15.8 ,13MP + 2MP , 8MP Front Camera,Qualcomm Snapdragon 439 Processor,5000 ,4.2
"Motorola G9 (Sapphire Blue, 64 GB)","₹11,499",4 GB RAM , 64 GB ROM ,16.51 ,48MP + 2MP + 2MP , 8MP Front Camera,Qualcomm Snapdragon 662 Processor,5000 ,4.2
"Realme 5i (Aqua Blue, 64 GB)","₹10,999",4 GB RAM , 64 GB ROM,16.56 ,12MP + 8MP + 2MP + 2MP , 8MP Front Camera,Qualcomm Snapdragon 665 2 GHz Processor,5000 ,4.5
"Realme 7 Pro (Mirror Silver, 128 GB)","₹21,999",8 GB RAM , 128 GB ROM ,16.26 ,64MP + 8MP + 2MP + 2MP , 32MP Front Camera,Qualcomm Snapdragon 720G Processor,4500 ,4.4
Micromax X741,"₹1,269",32 MB RAM , 32 MB ROM,6.1 ,0.3MP Rear Camera,,"1 Year Product and 6 Month Accessories	Manufacturer Warranty	Repair or Replacement	Manufacture Defect	Liquid or Damaged",1750 ,4
"Realme 6 (Comet White, 64 GB)","₹13,999",6 GB RAM , 64 GB ROM ,16.51 ,64MP + 8MP + 2MP + 2MP , 16MP Front Camera,MediaTek Helio G90T Processor,4300 ,4.4
"OPPO A31 (Mystery Black, 128 GB)","₹11,990",6 GB RAM , 128 GB ROM ,16.51 ,12MP + 2MP + 2MP , 8MP Front Camera,MediaTek Helio P35 Octa Core Processor,4230 ,4.3
"Motorola G9 (Forest Green, 64 GB)","₹11,499",4 GB RAM , 64 GB ROM ,16.51 ,48MP + 2MP + 2MP , 8MP Front Camera,Qualcomm Snapdragon 662 Processor,5000 ,4.2
"Vivo S1 Pro (Dreamy White, 128 GB)","₹18,990",8 GB RAM , 128 GB ROM ,16.21 ,48MP + 8MP + 2MP + 2MP , 32MP Front Camera,Qualcomm Snapdragon 665 Processor,4500 ,4.4
"Google Pixel 4a (Just Black, 128 GB)","₹29,999",6 GB RAM , 128 GB ROM,14.76 ,12.2MP Rear Camera , 8MP Front Camera,Qualcomm Snapdragon 730G Processor,3140 ,4.7
"Samsung Galaxy A50s (Prism Crush Violet, 128 GB)","₹14,999",4 GB RAM , 128 GB ROM,16.26 ,48MP + 5MP + 8MP , 32MP Front Camera,Exynos 9611 Processor,4000 ,4.4
"Redmi 8A Dual (Midnight Grey, 32 GB)","₹6,999",2 GB RAM , 32 GB ROM ,15.8 ,13MP + 2MP , 8MP Front Camera,Qualcomm Snapdragon 439 Processor,5000 ,4.2
"Tecno Spark Power 2 (Misty Grey, 64 GB)","₹9,999",4 GB RAM , 64 GB ROM ,17.78 ,16 MP + 5 MP + 2 MP + AI Lens , 16MP Front Camera,MediaTek Helio P22 Octa Core Processor,6000 ,4.3
"Apple iPhone 11 Pro (Space Grey, 64 GB)","₹79,999",,64 GB ROM,14.73 ,12MP + 12MP + 12MP , 12MP Front Camera,Brand Warranty for 1 Year,A13 Bionic Chip Processor,4.7
"OPPO A52 (Twilight Black, 128 GB)","₹16,990",6 GB RAM , 128 GB ROM ,16.51 ,12MP + 8MP + 2MP + 2MP , 16MP Front Camera,Qualcomm Snapdragon 665 Processor,5000 ,4.3
"OPPO A52 (Stream White, 128 GB)","₹16,990",6 GB RAM , 128 GB ROM ,16.51 ,12MP + 8MP + 2MP + 2MP , 16MP Front Camera,Qualcomm Snapdragon 665 Processor,5000 ,4.3
"Apple iPhone XR ((PRODUCT)RED, 128 GB)","₹49,999",,128 GB ROM,15.49 ,12MP Rear Camera , 7MP Front Camera,iOS 13 Compatible,A12 Bionic Chip Processor,4.6
"OPPO A5s (Green, 64 GB)","₹9,990",4 GB RAM , 64 GB ROM ,15.75 ,13MP + 2MP , 8MP Front Camera,MediaTek Helio P35 Processor,4230 ,4.3
"OPPO A5s (Black, 64 GB)","₹9,990",4 GB RAM , 64 GB ROM ,15.75 ,13MP + 2MP , 8MP Front Camera,MediaTek Helio P35 Processor,4230 ,4.3
"OPPO F15 (Blazing Blue, 128 GB)","₹14,990",4 GB RAM , 128 GB ROM ,16.26 ,48MP + 8MP + 2MP + 2MP , 16MP Front Camera,MediaTek Helio P70 Processor,4000 ,4.5
"Realme 6 (Comet White, 128 GB)","₹15,999",8 GB RAM , 128 GB ROM ,16.51 ,64MP + 8MP + 2MP + 2MP , 16MP Front Camera,MediaTek Helio G90T Processor,4300 ,4.4
"POCO X2 (Phoenix Red, 128 GB)","₹17,499",6 GB RAM , 128 GB ROM ,16.94 ,64MP + 8MP + 2MP + 2MP , 20MP + 2MP Dual Front Camera,Qualcomm Snapdragon 730G Processor,4500 ,4.5
"Vivo Y20 (Obsidian Black, 64 GB)","₹13,990",6 GB RAM , 64 GB ROM ,16.54 ,13MP + 2MP + 2MP , 8MP Front Camera,Qualcomm Snapdragon 460 Processor,5000 ,4.4
"Vivo Y20 (Purist Blue, 64 GB)","₹13,990",6 GB RAM , 64 GB ROM ,16.54 ,13MP + 2MP + 2MP , 8MP Front Camera,Qualcomm Snapdragon 460 Processor,5000 ,4.4
"Tecno Spark Power 2 Air (Cosmic Shine, 32 GB)","₹8,499",3 GB RAM , 32 GB ROM ,17.78 ,13MP + 2MP + 2MP + AI Lens Quad AI Camera , 8MP Front Camera,MediaTek Helio A22 Quad Core Processor,6000 ,4.3
"Mi 10T Pro (Cosmic Black, 128 GB)","₹39,999",8 GB RAM , 128 GB ROM,16.94 ,108MP Rear Camera , 20MP Front Camera,Qualcomm Snapdragon 865 Processor,5000 ,
"Redmi 9i (Midnight Black, 128 GB)","₹9,299",4 GB RAM , 128 GB ROM ,16.59 ,13MP Rear Camera , 5MP Front Camera,MediaTek Helio G25 Processor,5000 ,4.4
"Realme C2 (Diamond Black, 32 GB)","₹6,999",2 GB RAM , 32 GB ROM ,15.49 ,13MP + 2MP , 5MP Front Camera,MediaTek P22 Octa Core 2.0 GHz Processor,4000 ,4.4
"Vivo Y50 (Iris Blue, 128 GB)","₹16,990",8 GB RAM , 128 GB ROM ,16.59 ,13MP + 8MP + 2MP + 2MP , 16MP Front Camera,Qualcomm Snapdragon 665 Processor,5000 ,4.4
"Vivo Y50 (Pearl White, 128 GB)","₹16,990",8 GB RAM , 128 GB ROM ,16.59 ,13MP + 8MP + 2MP + 2MP , 16MP Front Camera,Qualcomm Snapdragon 665 Processor,5000 ,4.4
"Apple iPhone XR (Blue, 128 GB)","₹49,999",,128 GB ROM,15.49 ,12MP Rear Camera , 7MP Front Camera,iOS 13 Compatible,A12 Bionic Chip Processor,4.6
Lava GEM,"₹1,559",512 MB RAM , 512 MB ROM ,7.11 ,1.3MP Rear Camera,,NA Processor,1750 ,4.2
Lava A1 Josh,₹865,4 MB RAM , 1 KB ROM,4.57 ,800 mAh Battery,,,1 Year replacement gurantee for phone and 6 months warranty for accessories in the box,4.2
Micromax X741,"₹1,269",32 MB RAM , 32 MB ROM,6.1 ,0.3MP Rear Camera,,"1 Year Product and 6 Month Accessories	Manufacturer Warranty	Repair or Replacement	Manufacture Defect	Liquid or Damaged",1750 ,4
"Samsung Galaxy A50s (Prism Crush White, 128 GB)","₹14,999",4 GB RAM , 128 GB ROM,16.26 ,48MP + 8MP + 5MP , 32MP Front Camera,Exynos 9611 Processor,4000 ,4.4
"Itel VISION1 (GRADATION GREEN, 32 GB)","₹7,050",2 GB RAM , 32 GB ROM ,15.46 ,8MP Rear Camera , 5MP Front Camera,UNISOC SC9863A OCTA CORE Processor,4000 ,4.2
"Infinix Note 7 (Aether Black, 64 GB)","₹10,999",4 GB RAM , 64 GB ROM ,17.65 ,48MP + 2MP + 2MP + AI Lens Camera , 16MP Front Camera,MediaTek Helio G70 Processor,5000 ,4.3
"Tecno Camon 16 (Purist Blue, 64 GB)","₹10,999",4 GB RAM , 64 GB ROM ,17.27 ,64MP + 2MP + 2MP + AI Lens Quad AI Camera , 16MP Front Camera,MediaTek Helio G70 Processor,5000 ,4.3
"Tecno Camon 16 (Cloud White, 64 GB)","₹10,999",4 GB RAM , 64 GB ROM ,17.27 ,64MP + 2MP + 2MP + AI Lens Quad AI Camera , 16MP Front Camera,MediaTek Helio G70 Processor,5000 ,4.3
"OPPO A5s (Black, 32 GB)","₹10,900",3 GB RAM , 32 GB ROM ,15.75 ,13MP + 2MP , 8MP Front Camera,MTK MT6765 Processor,4230 ,4.3
"OPPO A5s (Blue, 32 GB)","₹11,490",3 GB RAM , 32 GB ROM ,15.75 ,13MP + 2MP , 8MP Front Camera,MTK MT6765 Processor,4230 ,4.3
"Vivo Y30 (Dazzle Blue, 128 GB)","₹13,990",4 GB RAM , 128 GB ROM ,16.43 ,13MP + 8MP + 2MP + 2MP , 8MP Front Camera,MediaTek Helio P35 Processor,5000 ,4.3
"Tecno Spark Power 2 (Ice Jadeite, 64 GB)","₹9,999",4 GB RAM , 64 GB ROM ,17.78 ,16 MP + 5 MP + 2 MP + AI Lens , 16MP Front Camera,MediaTek Helio P22 Octa Core Processor,6000 ,4.3
"Vivo S1 Pro (Jazzy Blue, 128 GB)","₹18,990",8 GB RAM , 128 GB ROM ,16.21 ,48MP + 8MP + 2MP + 2MP , 32MP Front Camera,Qualcomm Snapdragon 665 Processor,4500 ,4.4
"Vivo S1 Pro (Mystic Black, 128 GB)","₹18,990",8 GB RAM , 128 GB ROM ,16.21 ,48MP + 8MP + 2MP + 2MP , 32MP Front Camera,Qualcomm Snapdragon 665 Processor,4500 ,4.4
"OPPO A9 2020 (Space Purple, 128 GB)","₹14,990",8 GB RAM , 128 GB ROM ,16.51 ,48MP + 8MP + 2MP + 2MP , 16MP Front Camera,Qualcomm Snapdragon 665 Processor,5000 ,4.3
Lava A3,"₹1,090",4 MB RAM , 3 MB ROM ,4.5 ,0.3MP Rear Camera,,1 year manufacturer Replacement for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,1750 ,4.2
Lava A3,"₹1,090",4 MB RAM , 3 MB ROM ,4.5 ,0.3MP Rear Camera,,1 year manufacturer Replacement for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,1750 ,4.2
"POCO M2 Pro (Two Shades of Black, 64 GB)","₹13,999",4 GB RAM , 64 GB ROM ,16.94 ,48MP + 8MP + 5MP + 2MP , 16MP Front Camera,Qualcomm Snapdragon 720G Processor,5000 ,4.4
"Vivo Y20 (Obsidian Black, 64 GB)","₹12,990",4 GB RAM , 64 GB ROM ,16.54 ,13MP + 2MP + 2MP , 8MP Front Camera,Qualcomm Snapdragon 460 Processor,5000 ,4.3
"Vivo Y20 (Dawn White, 64 GB)","₹12,990",4 GB RAM , 64 GB ROM ,16.54 ,13MP + 2MP + 2MP , 8MP Front Camera,Qualcomm Snapdragon 460 Processor,5000 ,4.3
"Samsung Galaxy S10 (Prism Blue, 128 GB)","₹57,800",8 GB RAM , 128 GB ROM ,15.49 ,16MP + 12MP , 10MP Front Camera,Exynos 9 9820 Processor,3400 ,4.6
"Apple iPhone XR (Coral, 128 GB)","₹49,999",,128 GB ROM,15.49 ,12MP Rear Camera , 7MP Front Camera,iOS 13 Compatible,A12 Bionic Chip Processor,4.6
Samsung Guru Music 2,"₹1,939",NA ROM , Expandable Upto 16 GB,5.08 ,0MP Front Camera,,NA 0 Single Core 208MHz Processor,800 ,4.3
"Vivo Y30 (Emerald Black, 128 GB)","₹13,990",4 GB RAM , 128 GB ROM ,16.43 ,13MP + 8MP + 2MP + 2MP , 8MP Front Camera,MediaTek Helio P35 Processor,5000 ,4.3
"Realme X3 (Glacier Blue, 128 GB)","₹22,999",8 GB RAM , 128 GB ROM,16.69 ,64MP + 12MP + 8MP + 2MP , 16MP + 8MP Dual Front Camera,Qualcomm Snapdragon 855+ Processor,4200 ,4.4
"Redmi 9 (Carbon Black, 64 GB)","₹9,710",4 GB RAM , 64 GB ROM,16.59 ,13MP + 8MP , 2MP Front Camera,MediaTek Helio G35 Processor,5000 ,4.2
"Vivo U10 (Thunder Black, 32 GB)","₹10,990",3 GB RAM , 32 GB ROM ,16.13 ,13MP + 8MP + 2MP , 8MP Front Camera,Qualcomm Snapdragon 665 AIE Processor,5000 ,4.4
Grabo ECO 1.8,₹609,64 MB RAM , 64 MB ROM,4.57 ,1100 mAh Battery,,,1 Year Manufacturer Warranty for Device,4.3
"POCO X2 (Matrix Purple, 64 GB)","₹16,499",6 GB RAM , 64 GB ROM ,16.94 ,64MP + 8MP + 2MP + 2MP , 20MP + 2MP Dual Front Camera,Qualcomm Snapdragon 730G Processor,4500 ,4.5
"Itel Vision1 (Gradation Green, 32 GB)","₹6,499",3 GB RAM , 32 GB ROM ,15.46 ,8MP + 0.3MP , 5MP Front Camera,Unisoc SC9863A Octa Core Processor,4000 ,4.1
Lava A1,₹897,4 MB RAM , 24 MB ROM ,4.5 ,0.3MP Rear Camera,,1 Year Replacement Guarantee for Phone and 6 Months Replacement Guarantee for Accessories in Box (T&C apply),800 ,4.2
Lava A1,₹897,4 MB RAM , 24 MB ROM ,4.5 ,0.3MP Rear Camera,,1 Year Replacement Guarantee for Phone and 6 Months Replacement Guarantee for Accessories in Box (T&C apply),800 ,4.2
Lava A1,₹897,4 MB RAM , 24 MB ROM ,4.5 ,0.3MP Rear Camera,,1 Year Replacement Guarantee for Phone and 6 Months Replacement Guarantee for Accessories in Box (T&C apply),800 ,4.2
Lava A1,₹897,24 MB RAM , 24 MB ROM ,4.5 ,0.3MP Rear Camera,,1 year replacement guarantee for phone & 6 months replacement guarantee for accessories in box (T&C apply),800 ,4.2
"Realme C3 (Volcano Grey, 64 GB)","₹8,999",4 GB RAM , 64 GB ROM ,16.56 ,12MP + 2MP , 5MP Front Camera,Helio G70 Processor,5000 ,4.4
"OPPO A9 2020 (Vanilla Mint, 128 GB)","₹12,990",4 GB RAM , 128 GB ROM ,16.56 ,48MP + 8MP + 2MP + 2MP , 16MP Front Camera,Qualcomm Snapdragon 665 Processor,5000 ,4.3
"Realme Narzo 10A (So Blue, 32 GB)","₹8,999",3 GB RAM , 32 GB ROM ,16.56 ,12MP + 2MP + 2MP , 5MP Front Camera,MediaTek Helio G70 (12 nm) Processor,5000 ,4.5
"Realme Narzo 10A (So White, 64 GB)","₹9,999",4 GB RAM , 64 GB ROM ,16.56 ,12MP + 2MP + 2MP , 5MP Front Camera,MediaTek Helio G70 (12 nm) Processor,5000 ,4.5
"Realme 5i (Forest Green, 128 GB)","₹11,999",4 GB RAM , 128 GB ROM,16.56 ,12MP + 8MP + 2MP + 2MP , 8MP Front Camera,Qualcomm Snapdragon 665 (2 GHz) Processor,5000 ,4.5
"Realme 7 Pro (Sun Kissed Leather, 128 GB)","₹21,999",8 GB RAM , 128 GB ROM ,16.26 ,64MP + 8MP + 2MP + 2MP , 32MP Front Camera,Qualcomm Snapdragon 720G Processor,4500 ,4.4
"Redmi Note 8 (Neptune Blue, 32 GB)","₹10,978",3 GB RAM , 32 GB ROM,16.0 ,48MP + 8MP , 13MP Front Camera,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,4000 ,4.4
"OPPO A52 (Stream White, 128 GB)","₹18,990",8 GB RAM , 128 GB ROM ,16.51 ,12MP + 8MP + 2MP + 2MP , 16MP Front Camera,Qualcomm Snapdragon 665 Processor,5000 ,
"OPPO A52 (Twilight Black, 128 GB)","₹18,990",8 GB RAM , 128 GB ROM ,16.51 ,12MP + 8MP + 2MP + 2MP , 16MP Front Camera,Qualcomm Snapdragon 665 Processor,5000 ,
"Realme C2 (Diamond Ruby, 32 GB)","₹7,499",3 GB RAM , 32 GB ROM ,15.49 ,13MP + 2MP , 5MP Front Camera,MediaTek P22 Octa Core 2.0 GHz Processor,4000 ,4.4
"Realme C2 (Diamond Blue, 32 GB)","₹6,999",2 GB RAM , 32 GB ROM ,15.49 ,13MP + 2MP , 5MP Front Camera,MediaTek P22 Octa Core 2.0 GHz Processor,4000 ,4.4
"Realme C2 (Diamond Sapphire, 32 GB)","₹7,499",3 GB RAM , 32 GB ROM ,15.49 ,13MP + 2MP , 5MP Front Camera,MediaTek P22 Octa Core 2.0 GHz Processor,4000 ,4.4
"Realme C2 (Diamond Black, 32 GB)","₹7,499",3 GB RAM , 32 GB ROM ,15.49 ,13MP + 2MP , 5MP Front Camera,MediaTek P22 Octa Core 2.0 GHz Processor,4000 ,4.4
"Realme C2 (Diamond Blue, 32 GB)","₹7,499",3 GB RAM , 32 GB ROM ,15.49 ,13MP + 2MP , 5MP Front Camera,MediaTek P22 Octa Core 2.0 GHz Processor,4000 ,4.4
"Realme X3 (Glacier Blue, 128 GB)","₹21,999",6 GB RAM , 128 GB ROM,16.69 ,64MP + 12MP + 8MP + 2MP , 16MP + 8MP Dual Front Camera,Qualcomm Snapdragon 855+ Processor,4200 ,4.4
"Redmi Note 8 (Space Black, 64 GB)","₹11,499",4 GB RAM , 64 GB ROM ,16.0 ,48MP + 8MP + 2MP + 2MP , 13MP Front Camera,Qualcomm Snapdragon 665 Processor,4000 ,4.4
"POCO X3 (Cobalt Blue, 64 GB)","₹16,999",6 GB RAM , 64 GB ROM ,16.94 ,64MP + 13MP + 2MP + 2MP , 20MP Front Camera,Qualcomm Snapdragon 732G Processor,6000 ,4.4
"Redmi 8 (Sapphire Blue, 64 GB)","₹9,999",4 GB RAM , 64 GB ROM ,15.8 ,12MP + 2MP , 8MP Front Camera,Qualcomm Snapdragon 439 Processor,5000 ,4.4
"Redmi 8 (Onyx Black, 64 GB)","₹9,999",4 GB RAM , 64 GB ROM ,15.8 ,12MP + 2MP , 8MP Front Camera,Qualcomm Snapdragon 439 Processor,5000 ,4.4
"Lava Z66 (Midnight Blue, 32 GB)","₹7,377",3 GB RAM , 32 GB ROM ,15.44 ,13MP + 5MP , 13MP Front Camera,Octa Core Processor,3950 ,4.1
Lava A1,₹897,24 MB RAM , 24 MB ROM ,4.5 ,0.3MP Rear Camera,,1 year replacement guarantee for phone & 6 months replacement guarantee for accessories in box (T&C apply),800 ,4.2
"Samsung Galaxy Note 10 Plus (Aura Black, 256 GB)","₹59,999",12 GB RAM , 256 GB ROM ,17.27 ,12MP (Dual Aperture) + 12MP + 16MP + TOF , 10MP Front Camera,Super AMOLED Display,4300 ,4.7
Samsung Metro 313 Dual Sim,"₹2,130",4 MB RAM , 2.27 MB ROM ,5.16 ,0.3MP Rear Camera,,NA Processor,1000 ,4.3
"POCO X2 (Matrix Purple, 256 GB)","₹21,499",8 GB RAM , 256 GB ROM ,16.94 ,64MP + 8MP + 2MP + 2MP , 20MP + 2MP Dual Front Camera,Qualcomm Snapdragon 730G Processor,4500 ,4.5
Karbonn Jumbo K9,"₹1,204",,Expandable Upto 8 GB,6.6 ,1.3MP Rear Camera,,1 Year for Mobile & 6 Months for Accessories,1800 ,4
"Samsung Galaxy M01 (Black, 32 GB)","₹8,256",3 GB RAM , 32 GB ROM ,14.48 ,13MP + 2MP , 5MP Front Camera,Qualcomm Snapdragon (SDM439) Octa Core Processor,4000 ,4.2
MarQ by Flipkart M24 Armor,"₹1,099",32 MB RAM , 32 MB ROM ,6.1 ,2MP Rear Camera,,Wireless FM with Recording,2500 ,3.7
MarQ by Flipkart M24 Armor,"₹1,099",32 MB RAM , 32 MB ROM ,6.1 ,2MP Rear Camera,,Wireless FM with Recording,2500 ,3.7
MarQ by Flipkart M24 Armor,"₹1,099",32 MB RAM , 32 MB ROM ,6.1 ,2MP Rear Camera,,Wireless FM with Recording,2500 ,3.7
Lava A1,"₹1,250",24 MB RAM , 24 MB ROM ,4.5 ,0.3MP Rear Camera,,1 Year Replacement Guarantee for Phone and 6 Months Replacement Guarantee for Accessories in Box (T&C Apply),800 ,4.2
"Infinix Note 7 (Forest Green, 64 GB)","₹10,999",4 GB RAM , 64 GB ROM ,17.65 ,48MP + 2MP + 2MP + AI Lens Camera , 16MP Front Camera,MediaTek Helio G70 Processor,5000 ,4.3
"Infinix Note 7 (Bolivia Blue, 64 GB)","₹10,999",4 GB RAM , 64 GB ROM ,17.65 ,48MP + 2MP + 2MP + AI Lens Camera , 16MP Front Camera,MediaTek Helio G70 Processor,5000 ,4.3
Micromax X807,"₹1,475",32 MB RAM , 32 MB ROM,7.11 ,0.3MP Rear Camera,,12 MONTHS FOR HANDSET & 6 MONTHS FOR ACCESSORIES,1450 ,4.1
Nokia 105,"₹1,399",4 MB RAM , 4 MB ROM,4.57 ,800 mAh3 Li-ion Battery,,,Brand Warranty of 1 Year Available for Mobile from Date of Purchase,4.2
Samsung Guru 1200,"₹1,410",,NA ROM,3.81 ,800 mAh Battery,,1 Year for Mobile & 6 Months for Accessories,0 0 0 0 Processor Processor,4.3
Nokia TA-1010/105,"₹1,185",4 MB RAM , 4 MB ROM,4.57 ,800 mAh Battery,,,1 Year Manufacturer Warranty,4.3
"I kall K10 (White, 32 GB)","₹4,999",4 GB RAM , 32 GB ROM,15.24 ,8MP Rear Camera , 5MP Front Camera,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,3000 ,3
Samsung Guru 1200,"₹1,399",,NA ROM,3.81 ,800 mAh Battery,,1 Year for Mobile & 6 Months for Accessories,0 0 0 0 Processor Processor,4.3
Micromax X412,₹853,32 MB RAM , 32 MB ROM,4.5 ,800 mAh Battery,,,12 Month,3.9
Lava A5,"₹1,206",32 MB RAM , 24 MB ROM ,6.1 ,0.3MP Rear Camera,,Brand Warranty of 1 Year Available for Mobile and 6 Months for Battery and Accessories,1000 ,4.1
Lava A5,"₹1,172",32 MB RAM , 24 MB ROM ,6.1 ,0.3MP Rear Camera,,Brand Warranty of 1 Year Available for Mobile and 6 Months for Battery and Accessories,1000 ,4.1
"Redmi 9A (Nature Green, 32 GB)","₹7,380",2 GB RAM , 32 GB ROM,16.59 ,13MP Rear Camera,,1 Year  Manufacturer Warranty,5000 ,4.3
"Redmi 9A (Midnight Black, 32 GB)","₹8,597",3 GB RAM , 32 GB ROM ,16.59 ,13MP Rear Camera , 5MP Front Camera,MediaTek Helio G25 Processor,5000 ,4.2
Lava A5,"₹1,172",32 MB RAM , 24 MB ROM ,6.1 ,0.3MP Rear Camera,,Brand Warranty of 1 Year Available for Mobile and 6 Months for Battery and Accessories,1000 ,4.1
"Vivo Y20i (Nebula Blue, 64 GB)","₹11,490",3 GB RAM , 64 GB ROM ,16.54 ,13MP + 2MP + 2MP , 8MP Front Camera,Qualcomm Snapdragon 460 Processor,5000 ,4.3
