Product,Price,RAM,ROM,Display,Back_camera,Front_camera,Processor,Battery,Rating
"Gionee Max (Red, 32 GB)","₹5,499",2 GB RAM , 32 GB ROM ,15.49 ,13MP + Digital Camera , 5MP Front Camera,Octa Core Processor,5000 ,4.1
"Gionee Max (Black, 32 GB)","₹5,499",2 GB RAM , 32 GB ROM ,15.49 ,13MP + Digital Camera , 5MP Front Camera,Octa Core Processor,5000 ,4.1
"POCO C3 (Lime Green, 64 GB)","₹8,999",4 GB RAM , 64 GB ROM ,16.59 ,13MP + 2MP + 2MP , 5MP Front Camera,Mediatek Helio G35 Processor,5000 ,4.4
"Samsung Galaxy F41 (Fusion Green, 128 GB)","₹17,999",6 GB RAM , 128 GB ROM ,16.26 ,64MP + 8MP + 5MP , 32MP Front Camera,Exynos Octa Core Processor,6000 ,4.4
"Apple iPhone XR (Black, 64 GB)","₹44,999",,64 GB ROM,15.5 ,12MP Rear Camera , 7MP Front Camera,iOS 13 Compatible,A12 Bionic Chip Processor,4.6
"POCO C3 (Arctic Blue, 64 GB)","₹8,999",4 GB RAM , 64 GB ROM ,16.59 ,13MP + 2MP + 2MP , 5MP Front Camera,Mediatek Helio G35 Processor,5000 ,4.4
"POCO C3 (Lime Green, 32 GB)","₹7,999",3 GB RAM , 32 GB ROM ,16.59 ,13MP + 2MP + 2MP , 5MP Front Camera,Mediatek Helio G35 Processor,5000 ,4.4
"Realme 7 (Mist Blue, 64 GB)","₹14,999",6 GB RAM , 64 GB ROM ,16.51 ,64MP + 8MP + 2MP + 2MP , 16MP Front Camera,MediaTek Helio G95 Processor,5000 ,4.4
"POCO X3 (Cobalt Blue, 128 GB)","₹18,499",6 GB RAM , 128 GB ROM ,16.94 ,64MP + 13MP + 2MP + 2MP , 20MP Front Camera,Qualcomm Snapdragon 732G Processor,6000 ,4.4
"Realme 7 (Mist Blue, 128 GB)","₹16,999",8 GB RAM , 128 GB ROM ,16.51 ,64MP + 8MP + 2MP + 2MP , 16MP Front Camera,MediaTek Helio G95 Processor,5000 ,4.4
"POCO M2 Pro (Green and Greener, 64 GB)","₹13,999",4 GB RAM , 64 GB ROM ,16.94 ,48MP + 8MP + 5MP + 2MP , 16MP Front Camera,Qualcomm Snapdragon 720G Processor,5000 ,4.4
"POCO C3 (Matte Black, 64 GB)","₹8,999",4 GB RAM , 64 GB ROM ,16.59 ,13MP + 2MP + 2MP , 5MP Front Camera,Mediatek Helio G35 Processor,5000 ,4.4
"Apple iPhone XR (White, 64 GB)","₹44,999",,64 GB ROM,15.49 ,12MP Rear Camera , 7MP Front Camera,iOS 13 Compatible,A12 Bionic Chip Processor,4.6
"POCO M2 (Brick Red, 64 GB)","₹10,499",6 GB RAM , 64 GB ROM ,16.59 ,13MP + 8MP + 5MP + 2MP , 8MP Front Camera,MediaTek Helio G80 Processor,5000 ,4.4
"Infinix Smart 4 Plus (Midnight Black, 32 GB)","₹6,999",3 GB RAM , 32 GB ROM ,17.32 ,13MP + Depth Sensor , 8MP Front Camera,Mediatek Helio A25 Processor,6000 ,4.4
"Samsung Galaxy F41 (Fusion Blue, 64 GB)","₹16,999",6 GB RAM , 64 GB ROM ,16.26 ,64MP + 8MP + 5MP , 32MP Front Camera,Exynos Octa Core Processor,6000 ,4.4
"Tecno Spark Go 2020 (Mystery White, 32 GB)","₹6,499",2 GB RAM , 32 GB ROM ,16.56 ,13MP + AI Lens Dual Camera , 8MP Front Camera,MediaTek Helio A20 Quad Core Processor,5000 ,4.3
"Tecno Spark Go 2020 (Aqua Blue, 32 GB)","₹6,499",2 GB RAM , 32 GB ROM ,16.56 ,13MP + AI Lens Dual Camera , 8MP Front Camera,MediaTek Helio A20 Quad Core Processor,5000 ,4.3
"Tecno Spark Go 2020 (Ice jadeite, 32 GB)","₹6,499",2 GB RAM , 32 GB ROM ,16.56 ,13MP + AI Lens Dual Camera , 8MP Front Camera,MediaTek Helio A20 Quad Core Processor,5000 ,4.3
"Samsung Galaxy S20+ (Cosmic Gray, 128 GB)","₹54,999",8 GB RAM , 128 GB ROM ,17.02 ,64 MP + 12 MP +12 MP + VGA Depth Camera , 10MP Front Camera,Exynos 990 Processor,4500 ,4.6
"Samsung Galaxy F41 (Fusion Green, 64 GB)","₹16,999",6 GB RAM , 64 GB ROM ,16.26 ,64MP + 8MP + 5MP , 32MP Front Camera,Exynos Octa Core Processor,6000 ,4.4
"POCO C3 (Arctic Blue, 32 GB)","₹7,999",3 GB RAM , 32 GB ROM ,16.59 ,13MP + 2MP + 2MP , 5MP Front Camera,Mediatek Helio G35 Processor,5000 ,4.4
"POCO M2 Pro (Out of the Blue, 64 GB)","₹14,999",6 GB RAM , 64 GB ROM ,16.94 ,48MP + 8MP + 5MP + 2MP , 16MP Front Camera,Qualcomm Snapdragon 720G Processor,5000 ,4.4
"POCO X3 (Shadow Gray, 128 GB)","₹19,999",8 GB RAM , 128 GB ROM ,16.94 ,64MP + 13MP + 2MP + 2MP , 20MP Front Camera,Qualcomm Snapdragon 732G Processor,6000 ,4.4
"Apple iPhone SE (Red, 64 GB)","₹34,999",,64 GB ROM,11.94 ,12MP Rear Camera , 7MP Front Camera,"Water and Dust Resistant (1 meter for Upto 30 minutes, IP67)",A13 Bionic Chip with 3rd Gen Neural Engine Processor,4.6
"Infinix Hot 9 (Violet, 64 GB)","₹8,999",4 GB RAM , 64 GB ROM ,16.76 ,13 MP + 2 MP + 2 MP + Low Light Sensor , 8MP Front Camera,MediaTek Helio P22 (64 bit) Processor,5000 ,4.4
"Vivo V20 (Sunset Melody, 128 GB)","₹24,990",8 GB RAM , 128 GB ROM ,16.36 ,64MP + 8MP + 2MP , 44MP Front Camera,Qualcomm Snapdragon 720G Processor,4000 ,4.4
"Vivo V20 (Midnight Jazz, 128 GB)","₹24,990",8 GB RAM , 128 GB ROM ,16.36 ,64MP + 8MP + 2MP , 44MP Front Camera,Qualcomm Snapdragon 720G Processor,4000 ,4.4
"Vivo V20 (Sunset Melody, 256 GB)","₹27,990",8 GB RAM , 256 GB ROM ,16.36 ,64MP + 8MP + 2MP , 44MP Front Camera,Qualcomm Snapdragon 720G Processor,4000 ,4.4
"Vivo V20 (Midnight Jazz, 256 GB)","₹27,990",8 GB RAM , 256 GB ROM ,16.36 ,64MP + 8MP + 2MP , 44MP Front Camera,Qualcomm Snapdragon 720G Processor,4000 ,4.4
"Realme Narzo 10 (That White, 128 GB)","₹11,999",4 GB RAM , 128 GB ROM ,16.51 ,48MP + 8MP + 2MP + 2MP , 16MP Front Camera,MediaTek Helio G80 (12 nm) Processor,5000 ,4.5
"Realme Narzo 20 Pro (Black Ninja, 128 GB)","₹16,999",8 GB RAM , 128 GB ROM ,16.51 ,48MP + 8MP + 2MP + 2MP , 16MP Front Camera,MediaTek Helio G95 Processor,4500 ,4.4
"Realme Narzo 20 Pro (White Knight, 64 GB)","₹14,999",6 GB RAM , 64 GB ROM ,16.51 ,48MP + 8MP + 2MP + 2MP , 16MP Front Camera,MediaTek Helio G95 Processor,4500 ,4.4
"Realme Narzo 20 Pro (Black Ninja, 64 GB)","₹14,999",6 GB RAM , 64 GB ROM ,16.51 ,48MP + 8MP + 2MP + 2MP , 16MP Front Camera,MediaTek Helio G95 Processor,4500 ,4.4
"Infinix Smart 4 Plus (Violet, 32 GB)","₹6,999",3 GB RAM , 32 GB ROM ,17.32 ,13MP + Depth Sensor , 8MP Front Camera,Mediatek Helio A25 Processor,6000 ,4.4
