,Unnamed: 0,Product,RAM,ROM,Display,Back_camera,Processor,Battery
191,866,"Redmi Note 7 (Onyx Black, 64 GB)",4,64,16.0,12,660,4000
192,881,"Redmi Note 9 Pro Max (Aurora Blue, 128 GB)",8,128,16.94,64,720,5020
193,899,"Vivo U10 (Electric Blue, 64 GB)",3,64,16.13,13,665,5000
194,913,"Redmi Y1 (Grey, 64 GB)",4,64,13.97,13,435,3080
195,935,"OPPO Reno2 (Luminous Black, 256 GB)",8,256,16.51,48,730,4000
196,936,"OPPO Reno2 (Ocean Blue, 256 GB)",8,256,16.51,48,730,4000
197,942,"Redmi Note 9 Pro Max (Interstellar Black, 128 GB)",6,128,16.94,64,720,5020
198,943,"Redmi Note 9 Pro Max (Interstellar Black, 128 GB)",8,128,16.94,64,720,5020
199,959,"Redmi Note 5 Pro (Black, 64 GB)",6,64,15.21,12,636,4000
200,963,"OPPO Reno4 Pro (Starry Night, 128 GB)",8,128,16.51,48,720,4000
201,964,"OPPO Reno4 Pro (Galactic Blue, 128 MB)",8,128,16.51,48,720,4000
202,974,"Redmi Y1 (Grey, 32 GB)",3,32,13.97,13,435,3080
203,977,"Samsung Galaxy S10 Lite (Prism Blue, 128 GB)",8,128,17.02,48,855,4500
204,978,"Redmi Note 6 Pro (Black, 64 GB)",6,64,15.9,12,636,4000
205,981,"Vivo U10 (Thunder Black, 64 GB)",4,64,16.13,13,665,5000
